Year of Year Date	Adjusted for Inflation Notes	Adjusted for Inflation Title	Format	Metric	Year	Value (For Charting)	Adjusted for Inflation Flag	Year Date	Format Value # (Billion)	Format Value # (Million)	Total Value # (Billion)	Total Value # (Million)	Total Value For Year	Value (Actual)	Year (copy)
2014			DVD Audio	Value	2014	2.139460944		2014		$2.1M	$6.7B		$6694.7B	2.139460944	2014
2011			Download Album	Value	2011	1070.8		2011	$1.1B		$7.1B		$7135.6B	1070.8	2011
1977			Vinyl Single	Value	1977	245.1		1977		$245.1M	$3.5B		$3500.8B	245.1	1977
2018			Synchronization	Value	2018	285.513491340		2018		$285.5M	$9.7B		$9738.2B	285.513491340	2018
2018			On-Demand Streaming (Ad-Supported)	Value	2018	752.689023397		2018		$752.7M	$9.7B		$9738.2B	752.689023397	2018
2012			Kiosk	Value	2012	3.654065		2012		$3.7M	$7.0B		$7015.7B	3.654065	2012
2007			DVD Audio	Value	2007	2.8		2007		$2.8M	$10.7B		$10650.9B	2.8	2007
1974			Vinyl Single	Value	1974	194		1974		$194.0M	$2.2B		$2199.7B	194	1974
2000			Cassette Single	Value	2000	4.6		2000		$4.6M	$14.3B		$14323.7B	4.6	2000
2011			DVD Audio	Value	2011	0.3		2011		$0.3M	$7.1B		$7135.6B	0.3	2011
1975			LP/EP	Value	1975	1485		1975	$1.5B		$2.4B		$2388.5B	1485	1975
2015			Limited Tier Paid Subscription	Value	2015	0		2015		$0.0	$6.7B		$6710.8B	0	2015
2016			Download Single	Value	2016	900.181481066		2016		$900.2M	$7.5B		$7491.7B	900.181481066	2016
2011			SACD	Value	2011	1.5		2011		$1.5M	$7.1B		$7135.6B	1.5	2011
2019			Download Single	Value	2019	408.353016302		2019		$408.4M	$11.1B		$11130.4B	408.353016302	2019
2016			Other Digital	Value	2016	17.141662871		2016		$17.1M	$7.5B		$7491.7B	17.141662871	2016
1984			Cassette	Value	1984	2383.9		1984	$2.4B		$4.3B		$4334.7B	2383.9	1984
2012			Download Music Video	Value	2012	20.842242		2012		$20.8M	$7.0B		$7015.7B	20.842242	2012
2003			Vinyl Single	Value	2003	21.5		2003		$21.5M	$11.9B		$11854.4B	21.5	2003
2017			Ringtones & Ringbacks	Value	2017	35.513735653		2017		$35.5M	$8.5B		$8503.2B	35.513735653	2017
2020			SACD	Value	2020	0.236672458		2020		$0.2M	$12.2B		$12153.4B	0.236672458	2020
2020			On-Demand Streaming (Ad-Supported)	Value	2020	1183.121359683		2020	$1.2B		$12.2B		$12153.4B	1183.121359683	2020
2006			Vinyl Single	Value	2006	9.9		2006		$9.9M	$11.8B		$11759.5B	9.9	2006
2020			Download Music Video	Value	2020	1.794225466		2020		$1.8M	$12.2B		$12153.4B	1.794225466	2020
2019			Ringtones & Ringbacks	Value	2019	20.641318127		2019		$20.6M	$11.1B		$11130.4B	20.641318127	2019
2011			On-Demand Streaming (Ad-Supported)	Value	2011	113.8		2011		$113.8M	$7.1B		$7135.6B	113.8	2011
2008			CD	Value	2008	5471.3		2008	$5.5B		$8.8B		$8776.8B	5471.3	2008
2010			Vinyl Single	Value	2010	2.3		2010		$2.3M	$7.0B		$7013.8B	2.3	2010
1989			LP/EP	Value	1989	220.3		1989		$220.3M	$6.6B		$6580.2B	220.3	1989
1982			Vinyl Single	Value	1982	283		1982		$283.0M	$3.6B		$3628.6B	283	1982
2016			Ringtones & Ringbacks	Value	2016	56.325299125		2016		$56.3M	$7.5B		$7491.7B	56.325299125	2016
2016			Vinyl Single	Value	2016	4.880679689		2016		$4.9M	$7.5B		$7491.7B	4.880679689	2016
